REGIAO;UF;ESTACAO;CODIGO;LATITUDE;LONGITUDE;ALTITUDE
NE;BA;EUCLIDES DA CUNHA;A442;-10.53722221;-38.99666666;430.0
NE;BA;DELFINO;A443;-10.455;-41.20722222;637.0
NE;CE;CRATEUS;A342;-5.1861111;-40.66999999;291.0
NE;CE;CAMPOS SALES;A347;-7.07805554;-40.36305555;572.0
NE;CE;JAGUARIBE;A358;-5.90527777;-38.62777777;184.0
NE;CE;ITAPIPOCA;A359;-3.48388888;-39.58833333;102.0
NE;MA;CHAPADINHA;A206;-3.74277777;-43.35194444;91.0
NE;MA;GRAJAU;A207;-5.82472221;-46.15944444;230.0
NE;MA;FAROL de SANTANA;A217;-2.27083332;-43.62388888;8.0
NE;MA;PREGUICAS;A218;-2.59249999;-42.70722222;0.1
NE;MA;TURIACU;A219;-1.66166666;-45.37277777;41.0
NE;MA;BACABAL;A220;-4.24305555;-44.79499999;28.0
NE;MA;BARRA DO CORDA;A221;-5.50666666;-45.23694444;153.0
NE;MA;COLINAS;A222;-6.03333333;-44.23333333;179.0
NE;MA;ESTREITO;A224;-6.65333333;-47.41833332;180.0
NE;MA;IMPERATRIZ;A225;-5.55555555;-47.45972222;126.0
NE;MA;CAXIAS;A237;-4.82138888;-43.3436111;76.0
NE;MA;BURITICUPU;A238;-4.32055554;-46.44972221;175.0
NE;PB;CAMARATUBA;A352;-6.56083333;-35.13472221;136.0
NE;PE;SURUBIM;A328;-7.83694444;-35.7961111;418.0
NE;PE;IBIMIRIM;A349;-8.50944444;-37.71138888;448.0
NE;PE;SERRA TALHADA;A350;-7.95361111;-38.29472221;461.0
NE;PE;PALMARES;A357;-8.66638888;-35.56805554;180.0
NE;PI;PICOS;A343;-7.07083332;-41.40416666;233.0
NE;PI;SAO RAIMUNDO NONATO;A345;-9.03305554;-42.70055555;402.0
NE;PI;URUCUI;A346;-7.47472221;-44.34472221;393.0
NE;PI;OEIRAS;A354;-6.97416666;-42.14694444;156.0
NE;SE;POCO VERDE;A419;-10.73749999;-38.10777777;362.0
NE;SE;CARIRA;A420;-10.39944444;-37.74722221;308.0
NE;SE;BREJO GRANDE;A421;-10.47944443;-36.48194443;6.11
N;AC;PARQUE ESTADUAL CHANDLESS;A102;-9.3575;-69.92722221;187.0
N;AC;RIO BRANCO;A104;-9.95777777;-68.165;220.0
N;AM;BOCA DO ACRE;A110;-8.77666666;-67.33222221;111.0
N;AM;LABREA;A111;-7.43527777;-64.7886111;64.0
N;AM;APUI;A113;-7.21527777;-59.8886111;160.0
N;AM;COARI;A117;-4.09749999;-63.14527777;53.0
N;AM;MANACAPURU;A119;-3.29472221;-60.62833332;55.0
N;AM;AUTAZES;A120;-2.05638888;-60.02555554;78.0
N;AM;ITACOATIARA;A121;-3.13305554;-58.48277777;74.0
N;AM;MAUES;A122;-3.39888888;-57.6736111;35.0
N;AM;PARINTINS;A123;-2.64055555;-56.75472222;52.0
N;AM;URUCARA;A124;-2.89638888;-57.75833333;17.0
N;AM;RIO URUBU;A125;-2.7211111;-59.94333333;59.0
N;AM;PRESIDENTE FIGUEIREDO;A126;-2.08499999;-60.04888888;92.0
N;AP;OIAPOQUE;A242;3.81361111;-51.8625;21.0
N;PA;MEDICILANDIA;A209;-3.51083333;-52.96361111;251.0
N;PA;PACAJA;A210;-3.8436111;-50.63805555;108.0
N;PA;PLACAS;A211;-3.8811111;-54.2461111;96.0
N;PA;RONDON DO PARA;A214;-4.82749999;-48.17333332;203.0
N;PA;SALINOPOLIS;A215;-0.6186111;-47.35666666;41.0
N;PA;SOURE;A227;-0.81111111;-48.51583333;11.0
N;PA;TUCURUI;A229;-3.82277777;-49.67499999;148.0
N;PA;SERRA DOS CARAJAS;A230;-6.07749999;-50.14222221;719.0
N;PA;ITAITUBA;A231;-4.27638888;-55.99305555;13.0
N;PA;SANTANA DO ARAGUAIA;A233;-9.3386111;-50.35027777;168.0
N;PA;TUCUMA;A234;-6.7436111;-51.14222221;317.0
N;PA;NOVO REPARTIMENTO;A235;-4.23444444;-49.94277777;106.0
N;PA;CAMETA;A236;-2.2486111;-49.49305555;22.0
N;PA;CONCEICAO DO ARAGUAIA;A241;-8.25916666;-49.27416666;180.0
NE;MA;ALTO PARNAIBA;A223;-9.10805555;-45.93194443;281.0
